Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| third_party\harfbuzz\test\vector\data                                                                                  |         17 |        336 |          0 |         17 |        353 |
| third_party\harfbuzz\test\vector\data\expected                                                                         |         17 |        336 |          0 |         17 |        353 |
| third_party\harfbuzz\test\vector\data\expected\basic                                                                   |         13 |        310 |          0 |         13 |        323 |
| third_party\harfbuzz\test\vector\data\expected\varc                                                                    |          4 |         26 |          0 |          4 |         30 |
| third_party\harfbuzz\util                                                                                              |         84 |     18,289 |      1,645 |      2,647 |     22,581 |
| third_party\harfbuzz\util (Files)                                                                                      |         42 |      9,709 |      1,136 |      1,646 |     12,491 |
| third_party\harfbuzz\util\gpu                                                                                          |         42 |      8,580 |        509 |      1,001 |     10,090 |
| third_party\harfbuzz\util\gpu (Files)                                                                                  |         33 |      6,472 |        349 |        727 |      7,548 |
| third_party\harfbuzz\util\gpu\web                                                                                      |          9 |      2,108 |        160 |        274 |      2,542 |
| third_party\nanosvg                                                                                                    |         12 |      5,490 |        475 |        759 |      6,724 |
| third_party\nanosvg (Files)                                                                                            |          4 |        201 |          0 |         74 |        275 |
| third_party\nanosvg\example                                                                                            |          6 |      1,479 |        116 |        103 |      1,698 |
| third_party\nanosvg\src                                                                                                |          2 |      3,810 |        359 |        582 |      4,751 |
| third_party\quickjs                                                                                                    |        146 |    107,879 |      4,861 |      8,329 |    121,069 |
| third_party\quickjs (Files)                                                                                            |         45 |     82,525 |      4,476 |      7,001 |     94,002 |
| third_party\quickjs\.github                                                                                            |          7 |      1,000 |         40 |         84 |      1,124 |
| third_party\quickjs\.github (Files)                                                                                    |          1 |          6 |          1 |          1 |          8 |
| third_party\quickjs\.github\workflows                                                                                  |          6 |        994 |         39 |         83 |      1,116 |
| third_party\quickjs\docs                                                                                               |         19 |     15,667 |         39 |        449 |     16,155 |
| third_party\quickjs\docs (Files)                                                                                       |          5 |     14,792 |         32 |         16 |     14,840 |
| third_party\quickjs\docs\docs                                                                                          |         13 |        854 |          0 |        430 |      1,284 |
| third_party\quickjs\docs\docs (Files)                                                                                  |          9 |        683 |          0 |        357 |      1,040 |
| third_party\quickjs\docs\docs\developer-guide                                                                          |          4 |        171 |          0 |         73 |        244 |
| third_party\quickjs\docs\src                                                                                           |          1 |         21 |          7 |          3 |         31 |
| third_party\quickjs\docs\src\css                                                                                       |          1 |         21 |          7 |          3 |         31 |
| third_party\quickjs\examples                                                                                           |          8 |        290 |         69 |         56 |        415 |
| third_party\quickjs\gen                                                                                                |          6 |      3,662 |          6 |         36 |      3,704 |
| third_party\quickjs\tests                                                                                              |         61 |      4,735 |        231 |        703 |      5,669 |
| third_party\quickjs\tests (Files)                                                                                      |         46 |      4,698 |        199 |        684 |      5,581 |
| third_party\quickjs\tests\bug39                                                                                        |          3 |          7 |          9 |          6 |         22 |
| third_party\quickjs\tests\bug633                                                                                       |          4 |          4 |         15 |          4 |         23 |
| third_party\quickjs\tests\bug645                                                                                       |          3 |         18 |          1 |          4 |         23 |
| third_party\quickjs\tests\detect_module                                                                                |          5 |          8 |          7 |          5 |         20 |
| third_party\stb                                                                                                        |        112 |     83,104 |     13,987 |     12,527 |    109,618 |
| third_party\stb (Files)                                                                                                |         25 |     36,244 |      9,457 |      5,738 |     51,439 |
| third_party\stb\.NO_AI                                                                                                 |          1 |          1 |          0 |          3 |          4 |
| third_party\stb\.github                                                                                                |          6 |         82 |          0 |         23 |        105 |
| third_party\stb\.github (Files)                                                                                        |          1 |          5 |          0 |          2 |          7 |
| third_party\stb\.github\ISSUE_TEMPLATE                                                                                 |          4 |         54 |          0 |         20 |         74 |
| third_party\stb\.github\workflows                                                                                      |          1 |         23 |          0 |          1 |         24 |
| third_party\stb\deprecated                                                                                             |          6 |     16,353 |      2,748 |      2,674 |     21,775 |
| third_party\stb\docs                                                                                                   |          3 |        242 |          0 |         51 |        293 |
| third_party\stb\stb_image_resize_test                                                                                  |          5 |      3,731 |        432 |        851 |      5,014 |
| third_party\stb\tests                                                                                                  |         58 |     25,339 |      1,281 |      3,008 |     29,628 |
| third_party\stb\tests (Files)                                                                                          |         38 |      6,936 |        324 |      1,111 |      8,371 |
| third_party\stb\tests\caveview                                                                                         |         13 |     14,429 |        583 |      1,278 |     16,290 |
| third_party\stb\tests\caveview (Files)                                                                                 |         12 |     14,274 |        549 |      1,242 |     16,065 |
| third_party\stb\tests\caveview\win32                                                                                   |          1 |        155 |         34 |         36 |        225 |
