Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-draw.c                                                   | C             |      1,019 |         61 |        127 |      1,207 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-extents.c                                                | C             |         77 |         34 |         23 |        134 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-face.c                                                   | C             |         67 |         24 |         20 |        111 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-font-scale.c                                             | C             |         23 |         26 |          9 |         58 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-font.c                                                   | C             |        517 |         42 |        136 |        695 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ft.c                                                     | C             |        141 |         25 |         54 |        220 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-get-table-tags.c                                         | C             |        119 |         25 |         33 |        177 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-glyph-names.c                                            | C             |        266 |         59 |         69 |        394 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-gpu.cc                                                   | C++           |        450 |         80 |        109 |        639 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-instance-cff2.c                                          | C             |         37 |         25 |         14 |         76 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-map.c                                                    | C             |         90 |         26 |         30 |        146 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-multithread.c                                            | C             |        100 |         28 |         34 |        162 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-object.c                                                 | C             |        315 |         26 |         31 |        372 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-alternates.c                                          | C             |         23 |         23 |          8 |         54 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-collect-glyphs.c                                      | C             |        358 |         44 |         91 |        493 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-color.c                                               | C             |        346 |        107 |         71 |        524 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-extents-cff.c                                         | C             |        157 |         26 |         42 |        225 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-face.c                                                | C             |        168 |         27 |         34 |        229 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-glyphname.c                                           | C             |         52 |         26 |         17 |         95 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-layout.c                                              | C             |        185 |         23 |         21 |        229 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-ligature-carets.c                                     | C             |        109 |         33 |         33 |        175 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-math.c                                                | C             |        720 |         32 |         84 |        836 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-meta.c                                                | C             |         50 |         24 |         11 |         85 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-metrics-tt-var.c                                      | C             |        178 |         26 |         58 |        262 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-metrics.c                                             | C             |         46 |         25 |          8 |         79 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-name.c                                                | C             |         82 |         24 |         17 |        123 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-ot-tag.c                                                 | C             |        409 |         61 |        102 |        572 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-paint.c                                                  | C             |        635 |         57 |        143 |        835 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-raster.cc                                                | C++           |        137 |         47 |         59 |        243 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-set.c                                                    | C             |      1,031 |         66 |        216 |      1,313 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-shape-plan.c                                             | C             |        241 |         35 |         60 |        336 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-shape.c                                                  | C             |        137 |         36 |         36 |        209 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-style.c                                                  | C             |        137 |         27 |         44 |        208 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-cbdt.c                                            | C             |         99 |         33 |         27 |        159 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-cff1.c                                            | C             |        297 |         26 |         70 |        393 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-cff2.c                                            | C             |        146 |         26 |         37 |        209 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-cmap.c                                            | C             |        133 |         27 |         37 |        197 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-colr.c                                            | C             |         73 |         26 |         22 |        121 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-drop-tables.c                                     | C             |         35 |         26 |         12 |         73 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-glyf.c                                            | C             |        311 |         27 |         77 |        415 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-gpos.c                                            | C             |         48 |         26 |         20 |         94 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-gvar.c                                            | C             |         60 |         26 |         18 |        104 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-hdmx.c                                            | C             |         74 |         26 |         24 |        124 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-hmtx.c                                            | C             |        125 |         27 |         35 |        187 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-hvar.c                                            | C             |        129 |         26 |         35 |        190 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-nameids.c                                         | C             |         76 |         25 |         20 |        121 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-os2.c                                             | C             |         24 |         25 |         11 |         60 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-post.c                                            | C             |         24 |         26 |         11 |         61 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-repacker.c                                        | C             |        163 |         24 |         31 |        218 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-sbix.c                                            | C             |         39 |         28 |         15 |         82 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-vmtx.c                                            | C             |         56 |         26 |         18 |        100 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset-vvar.c                                            | C             |         60 |         26 |         18 |        104 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-subset.c                                                 | C             |        318 |         31 |         80 |        429 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-unicode.c                                                | C             |        752 |        113 |        195 |      1,060 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-var-coords.c                                             | C             |         44 |         26 |         17 |         87 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\api\test-version.c                                                | C             |         43 |         26 |         13 |         82 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\README.md                                                 | Markdown      |         11 |          0 |          7 |         18 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\decode-seed.py                                            | Python        |         37 |        188 |          8 |        233 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\glob.py                                                   | Python        |         12 |          1 |          4 |         17 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-fuzzer.hh                                              | C++           |         91 |          4 |         21 |        116 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-gpu-fuzzer.cc                                          | C++           |         53 |          0 |         11 |         64 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-raster-fuzzer.cc                                       | C++           |         60 |          1 |         12 |         73 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-repacker-fuzzer.cc                                     | C++           |        103 |         14 |         29 |        146 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-shape-fuzzer.cc                                        | C++           |         36 |          0 |          9 |         45 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-shape-input.hh                                         | C++           |        230 |          0 |         35 |        265 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-subset-fuzzer.cc                                       | C++           |        298 |          2 |         56 |        356 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb-vector-fuzzer.cc                                       | C++           |         66 |          3 |         15 |         84 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\hb_fuzzing_tools.py                                       | Python        |        292 |          1 |         78 |        371 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\main.cc                                                   | C++           |         20 |          0 |         10 |         30 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\record-subset-test.py                                     | Python        |         90 |        237 |         13 |        340 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\fuzzing\record-test.py                                            | Python        |         24 |         43 |          9 |         76 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\README.md                                                   | Markdown      |         39 |          0 |          6 |         45 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\data\aots\hb-aots-tester.cpp                                | C++           |        346 |         23 |         79 |        448 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\data\aots\update.py                                         | Python        |         21 |          2 |          7 |         30 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\data\text-rendering-tests\fonts\Selawik-README.md           | Markdown      |         42 |          0 |         19 |         61 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\data\text-rendering-tests\update.py                         | Python        |        104 |          2 |         28 |        134 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\hb_test_tools.py                                            | Python        |        391 |         13 |         88 |        492 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\record-test.sh                                              | Shell Script  |        148 |          4 |         13 |        165 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\shape\run-tests.py                                                | Python        |        279 |         14 |         65 |        358 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\subset\generate-expected-outputs.py                               | Python        |         92 |          6 |         22 |        120 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\subset\repack_test.py                                             | Python        |         23 |          4 |         10 |         37 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\subset\run-repack-tests.py                                        | Python        |        108 |          4 |         36 |        148 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\subset\run-tests.py                                               | Python        |        177 |          6 |         47 |        230 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\subset\subset_test_suite.py                                       | Python        |        151 |          7 |         26 |        184 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\threads\hb-shape-threads.cc                                       | C++           |        149 |          4 |         34 |        187 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\threads\hb-subset-threads.cc                                      | C++           |        150 |          2 |         31 |        183 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\README.md                                                  | Markdown      |         45 |          0 |         17 |         62 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\cff1.svg                               | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\cff2-var-cntr.svg                      | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\cff2-var-wght900.svg                   | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\default.svg                            | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\glyf-var-wght900.svg                   | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\glyf-vvar-ttb-wght900.svg              | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\handwriting-cff-colr-1.svg             | XML           |        109 |          0 |          1 |        110 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\handwriting-glyf-colr-1.svg            | XML           |        109 |          0 |          1 |        110 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\handwriting-sbix.svg                   | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\iran-nastaliq-y-offsets.svg            | XML           |         12 |          0 |          1 |         13 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\multiline.svg                          | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\ttb.svg                                | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\basic\upem-default.svg                       | XML           |          8 |          0 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\varc\conditional-default.svg                 | XML           |          6 |          0 |          1 |          7 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\varc\conditional-wght840p3.svg               | XML           |          6 |          0 |          1 |          7 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\varc\default.svg                             | XML           |          7 |          0 |          1 |          8 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\data\expected\varc\wght840p3.svg                           | XML           |          7 |          0 |          1 |          8 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\record-test.sh                                             | Shell Script  |        283 |          3 |         34 |        320 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\test\vector\run-tests.py                                               | Python        |        199 |          4 |         52 |        255 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\ansi-print.hh                                                     | C++           |        368 |         33 |         40 |        441 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\batch.hh                                                          | C++           |         42 |         23 |         11 |         76 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\draw-output-color.hh                                              | C++           |        811 |         37 |        119 |        967 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\face-options.hh                                                   | C++           |        135 |         25 |         28 |        188 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\font-options.hh                                                   | C++           |        307 |         27 |         42 |        376 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu-output.hh                                                     | C++           |        342 |         48 |         54 |        444 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\default-font.hh                                               | C++           |      2,777 |          0 |          1 |      2,778 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\default-text-combined.hh                                      | C++           |         62 |          0 |          1 |         63 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\default-text-en.hh                                            | C++           |         70 |          0 |          1 |         71 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\default-text-fa.hh                                            | C++           |         80 |          0 |          1 |         81 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\default-text.hh                                               | C++           |         71 |          0 |          1 |         72 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-atlas.cc                                                 | C++           |        152 |          5 |         29 |        186 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-atlas.h                                                  | C++           |         29 |          5 |         18 |         52 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-buffer.cc                                                | C++           |        157 |          4 |         33 |        194 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-buffer.h                                                 | C++           |         43 |          5 |         18 |         66 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-common.h                                                 | C++           |         98 |          6 |         29 |        133 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-font.cc                                                  | C++           |        182 |          3 |         30 |        215 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-font.h                                                   | C++           |         43 |          9 |         21 |         73 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-fragment-glsl.hh                                         | C++           |         54 |          0 |          1 |         55 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-fragment.glsl                                            | GLSL          |         40 |          5 |          8 |         53 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-glstate.cc                                               | C++           |         68 |          6 |         21 |         95 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-glstate.h                                                | C++           |         27 |          3 |         17 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-metal.mm                                                 | Objective-C++ |        329 |         31 |         74 |        434 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-renderer-d3d11.cc                                        | C++           |        269 |         19 |         40 |        328 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-renderer-gl.cc                                           | C++           |        123 |          3 |         34 |        160 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-renderer.h                                               | C++           |         33 |          8 |         17 |         58 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-shader-hlsl.hh                                           | C++           |         66 |          0 |          1 |         67 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-shader-msl.hh                                            | C++           |         81 |          0 |          1 |         82 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-shader-wgsl.hh                                           | C++           |         79 |          0 |          1 |         80 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-shader.cc                                                | C++           |         88 |          6 |         25 |        119 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-shader.h                                                 | C++           |         56 |          8 |         18 |         82 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-shader.hlsl                                              | HLSL          |         55 |          3 |          7 |         65 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-vertex-glsl.hh                                           | C++           |         32 |          0 |          1 |         33 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-vertex.glsl                                              | GLSL          |         20 |          3 |          8 |         31 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-view.cc                                                  | C++           |        703 |         34 |        110 |        847 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\demo-view.h                                                   | C++           |         64 |          5 |         29 |         98 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\gen-default-texts.py                                          | Python        |         53 |          5 |         10 |         68 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\matrix4x4.hh                                                  | C++           |        287 |         54 |         73 |        414 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\trackball.hh                                                  | C++           |        181 |        119 |         48 |        348 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\build-webgpu.sh                                           | Shell Script  |         26 |          3 |          7 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\build.sh                                                  | Shell Script  |         31 |          3 |          7 |         41 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\config-override.h                                         | C++           |          5 |          1 |          2 |          8 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\config.h                                                  | C++           |          4 |          3 |          2 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\dom.html                                                  | HTML          |        139 |          0 |          7 |        146 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\gl-stub.h                                                 | C++           |         77 |          8 |         11 |         96 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\hb-gpu-web-webgpu.cc                                      | C++           |        844 |         78 |        156 |      1,078 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\hb-gpu-web.cc                                             | C++           |        231 |         64 |         54 |        349 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\gpu\web\shell.html                                                | HTML          |        751 |          0 |         28 |        779 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-draw-all.c                                                     | C             |         35 |          0 |         11 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-fc-list.c                                                      | C             |        178 |         24 |         21 |        223 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-fc.cc                                                          | C++           |         85 |         38 |         25 |        148 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-fc.h                                                           | C++           |         11 |         25 |         11 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-ft-raster-all.cc                                               | C++           |        156 |         25 |         27 |        208 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-ft-raster.cc                                                   | C++           |        241 |         40 |         56 |        337 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-gpu-encode-all.cc                                              | C++           |        183 |         27 |         27 |        237 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-gpu.cc                                                         | C++           |        130 |         28 |         31 |        189 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-info.cc                                                        | C++           |      1,180 |         27 |        235 |      1,442 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-paint-all.c                                                    | C             |         35 |          0 |         11 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-raster-all.cc                                                  | C++           |        148 |         25 |         24 |        197 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-raster.cc                                                      | C++           |         14 |         25 |          4 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-shape.cc                                                       | C++           |         14 |         26 |          4 |         44 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-subset.cc                                                      | C++           |        844 |         37 |        158 |      1,039 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-vector-svg-all.c                                               | C             |         70 |          0 |         12 |         82 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-vector.cc                                                      | C++           |         14 |         23 |          4 |         41 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\hb-view.cc                                                        | C++           |         14 |         26 |          4 |         44 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\helper-cairo-ansi.hh                                              | C++           |         37 |         25 |          8 |         70 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\helper-cairo-ft.hh                                                | C++           |         77 |         29 |         11 |        117 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\helper-cairo.hh                                                   | C++           |        508 |         35 |         71 |        614 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\helper-extents-overlay.hh                                         | C++           |         43 |         46 |         10 |         99 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\helper-image-output.hh                                            | C++           |        256 |         33 |         43 |        332 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\helper-subset.hh                                                  | C++           |         78 |         26 |         13 |        117 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\main-font-text.hh                                                 | C++           |         64 |         26 |         20 |        110 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\options.hh                                                        | C++           |        304 |         32 |         58 |        394 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\output-options.hh                                                 | C++           |         90 |         25 |         14 |        129 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\raster-output.hh                                                  | C++           |        735 |         35 |        107 |        877 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\shape-consumer.hh                                                 | C++           |         75 |         25 |         17 |        117 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\shape-format.hh                                                   | C++           |        172 |         25 |         18 |        215 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\shape-options.hh                                                  | C++           |        387 |         36 |         49 |        472 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\shape-output.hh                                                   | C++           |        114 |         30 |         18 |        162 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\test-hb-subset-parsing.c                                          | C             |         92 |          0 |         18 |        110 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\text-options.hh                                                   | C++           |        308 |         27 |         56 |        391 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\util\vector-output.hh                                                  | C++           |        431 |         30 |         79 |        540 |
