"filename", "language", "JavaScript", "C++", "C", "XML", "CMake", "Markdown", "Batch", "JSON", "Diff", "YAML", "GLSL", "PowerShell", "Shell Script", "Properties", "Makefile", "HTML", "Python", "HLSL", "Objective-C++", "Skill", "PostCSS", "Lua", "Perl", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\stack_layout.cppm", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\platform.cppm", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window.cppm", "C++", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 24, 172
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window_android.cppm", "C++", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 91
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window_drm.cppm", "C++", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 107
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window_factory.cppm", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 48
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window_fbdev.cppm", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 93
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window_wayland.cppm", "C++", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 123
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window_win32.cppm", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 65
"c:\ws-code\ws-kwik\kwik-ui\modules\render\backend.cppm", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 25, 147
"c:\ws-code\ws-kwik\kwik-ui\modules\render\command.cppm", "C++", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 30, 299
"c:\ws-code\ws-kwik\kwik-ui\modules\render\font.cppm", "C++", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 17, 309
"c:\ws-code\ws-kwik\kwik-ui\modules\render\graphics.cppm", "C++", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 22, 132
"c:\ws-code\ws-kwik\kwik-ui\modules\render\render_thread.cppm", "C++", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 37, 198
"c:\ws-code\ws-kwik\kwik-ui\modules\render\software_backend.cppm", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 54
"c:\ws-code\ws-kwik\kwik-ui\modules\render\texture_manager.cppm", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 65
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_backend.cppm", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 72
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_clip_manager.cppm", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
